Sl no.,Date,Year,Headline,Description,cleaned_head_line,x0,x1,Cluster
1,18-11-2022,2022,Gainers & Losers: 10 stocks that moved the most on November 18,"The Sensex closed 87.12 points lower at 61,663 and the Nifty ended 0.20 percent lower at 18,307",gainers losers stocks moved november,0.9188699360197905,-0.928468107017247,Positive
2,18-11-2022,2022,Stock watch: PB Fintech surges in flat market as brokerages see 50% upside,"In Q2, the company’s consolidated loss narrowed to Rs 186.63 crore compared to Rs 204.44 crore loss registered in the same quarter last year",stock watch pb fintech surges flat market brokerages see upside,0.026707662904252784,0.43969072741895354,Positive
3,18-11-2022,2022,Nykaa gains after 54 million shares change hands in two block deals,"Citigroup had on Thursday launched a block deal to sell shares in the cosmetics-to-fashion retailer worth Rs 1,000 crore on behalf of TPG Capital",nykaa gains million shares change hands two block deals,0.325497523413144,1.4682686687912314,Positive
4,18-11-2022,2022,"Buzzing Stocks | Paytm, Nykaa, Bajaj Auto and others in news today",Stocks to Watch: Check out the companies making headlines before the opening bell.,buzzing stocks paytm nykaa bajaj auto others news today,1.611345091183266,-0.3537842606231538,Positive
5,17-11-2022,2022,"Bulk Deals | BOFA, Morgan Stanley, Societe Generale pick 2.79% stake in Paytm; Mala Gopal Gaonkar sells Rs 1,009 crore Nykaa shares","Paytm shares have been under pressure, falling more than 10 percent on November 17 to Rs 539.80. The stock corrected 36 percent from its August-high. The lock-in one year period for pre-IPO investors ended recently.",bulk deals bofa morgan stanley societe generale pick stake paytm mala gopal gaonkar sells rs crore nykaa shares,0.6627544697453011,2.4167183761285354,Positive
6,17-11-2022,2022,"How Segantii India grabbed opportunity to make a quick buck in Nykaa, Paytm","The firm first bought Nykaa shares on November 10, then it sold Nykaa shares on November 15, and has now reportedly picked up shares of Paytm",segantii india grabbed opportunity make quick buck nykaa paytm,0.4220919754657549,0.802623833758357,Positive
7,17-11-2022,2022,"Paytm block sales: Despite post lock-in selling pressure, analysts positive on stock",The selling comes on the heels of similar offloading in shares of other new-age tech companies such as Nykaa and Zomato in recent weeks. The share prices of these companies have also been under pressure,paytm block sales despite post lock selling pressure analysts positive stock,0.3079879511952272,0.8578972462466733,Positive
8,17-11-2022,2022,Gainers & Losers: 10 stocks that moved the most on November 17,"Selling was seen in auto and power names, while buying was seen in capital goods stocks",gainers losers stocks moved november,0.9188699360197903,-0.9284681070172466,Positive
9,17-11-2022,2022,Equitas SFB zooms after RBI approves DSP Investment Managers' bid to acquire 10% stake,The proposed acquisition of shares by DSPIM would be consequent to its merger with Equitas Holdings Limited.,equitas sfb zooms rbi approves dsp investment managers bid acquire stake,0.10240604584913236,0.5657080079404021,Positive
10,17-11-2022,2022,"Nykaa block deals continue, shares tumble 17% in 3 sessions","According to Bloomberg data, 57.1 million shares (2 percent equity) changed hands in 5 bunched trades",nykaa block deals continue shares tumble sessions,0.3019652019097064,1.2555200380744054,Positive
